



L1_CACHE_SIZE:32 , L2_CACHE_SIZE:32 	(T:8,IN:0,BO:0)	(T:8,IN:0,BO:0)
================================

MODIFY	:  202	 	 TAG: 11001010(202)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:768 
READ	:   28	 	 TAG: 00011100( 28)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:767 
WRITE	:   15	 	 TAG: 00001111( 15)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:21 	AGE:766 
READ	:  214	 	 TAG: 11010110(214)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:765 
WRITE	:   80	 	 TAG: 01010000( 80)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:21 	AGE:764 
READ	:    8	 	 TAG: 00001000(  8)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:763 
MODIFY	:  151	 	 TAG: 10010111(151)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:762 
MODIFY	:   85	 	 TAG: 01010101( 85)			MISS:	COMPULSORY	REPLACE:(UNKNOWN)	CYCLES:10 	AGE:761 
READ	:  243	 	 TAG: 11110011(243)			MISS:	CAPACITY	REPLACE:(202)		CYCLES:10 	AGE:760 
WRITE	:   84	 	 TAG: 01010100( 84)			MISS:	CAPACITY	REPLACE:( 28)		CYCLES:21 	AGE:759 
READ	:  211	 	 TAG: 11010011(211)			MISS:	CAPACITY	REPLACE:( 15)		CYCLES:10 	AGE:758 
WRITE	:   89	 	 TAG: 01011001( 89)			MISS:	CAPACITY	REPLACE:(214)		CYCLES:21 	AGE:757 
WRITE	:  189	 	 TAG: 10111101(189)			MISS:	CAPACITY	REPLACE:( 80)		CYCLES:21 	AGE:756 
MODIFY	:   64	 	 TAG: 01000000( 64)			MISS:	CAPACITY	REPLACE:(  8)		CYCLES:10 	AGE:755 
READ	:  244	 	 TAG: 11110100(244)			MISS:	CAPACITY	REPLACE:(151)		CYCLES:10 	AGE:754 
MODIFY	:   89	 	 TAG: 01011001( 89)			HIT										CYCLES:1 	AGE:757 
MODIFY	:  137	 	 TAG: 10001001(137)			MISS:	CAPACITY	REPLACE:( 85)		CYCLES:10 	AGE:752 
WRITE	:   58	 	 TAG: 00111010( 58)			MISS:	CAPACITY	REPLACE:(243)		CYCLES:21 	AGE:751 
READ	:  239	 	 TAG: 11101111(239)			MISS:	CAPACITY	REPLACE:( 84)		CYCLES:10 	AGE:750 
WRITE	:  159	 	 TAG: 10011111(159)			MISS:	CAPACITY	REPLACE:(211)		CYCLES:21 	AGE:749 
WRITE	:  179	 	 TAG: 10110011(179)			MISS:	CAPACITY	REPLACE:( 89)		CYCLES:21 	AGE:748 
READ	:   68	 	 TAG: 01000100( 68)			MISS:	CAPACITY	REPLACE:(189)		CYCLES:10 	AGE:747 
WRITE	:  184	 	 TAG: 10111000(184)			MISS:	CAPACITY	REPLACE:( 64)		CYCLES:21 	AGE:746 
READ	:    4	 	 TAG: 00000100(  4)			MISS:	CAPACITY	REPLACE:(244)		CYCLES:10 	AGE:745 
WRITE	:  205	 	 TAG: 11001101(205)			MISS:	CAPACITY	REPLACE:(137)		CYCLES:21 	AGE:744 
MODIFY	:    3	 	 TAG: 00000011(  3)			MISS:	CAPACITY	REPLACE:( 58)		CYCLES:10 	AGE:743 
MODIFY	:  180	 	 TAG: 10110100(180)			MISS:	CAPACITY	REPLACE:(239)		CYCLES:10 	AGE:742 
MODIFY	:  166	 	 TAG: 10100110(166)			MISS:	CAPACITY	REPLACE:(159)		CYCLES:10 	AGE:741 
READ	:  108	 	 TAG: 01101100(108)			MISS:	CAPACITY	REPLACE:(179)		CYCLES:10 	AGE:740 
WRITE	:   66	 	 TAG: 01000010( 66)			MISS:	CAPACITY	REPLACE:( 68)		CYCLES:21 	AGE:739 
MODIFY	:   91	 	 TAG: 01011011( 91)			MISS:	CAPACITY	REPLACE:(184)		CYCLES:10 	AGE:738 
READ	:  190	 	 TAG: 10111110(190)			MISS:	CAPACITY	REPLACE:(  4)		CYCLES:10 	AGE:737 
MODIFY	:   29	 	 TAG: 00011101( 29)			MISS:	CAPACITY	REPLACE:(205)		CYCLES:10 	AGE:736 
MODIFY	:  113	 	 TAG: 01110001(113)			MISS:	CAPACITY	REPLACE:(  3)		CYCLES:10 	AGE:735 
READ	:  222	 	 TAG: 11011110(222)			MISS:	CAPACITY	REPLACE:(180)		CYCLES:10 	AGE:734 
WRITE	:   90	 	 TAG: 01011010( 90)			MISS:	CAPACITY	REPLACE:(166)		CYCLES:21 	AGE:733 
WRITE	:  165	 	 TAG: 10100101(165)			MISS:	CAPACITY	REPLACE:(108)		CYCLES:21 	AGE:732 
WRITE	:  166	 	 TAG: 10100110(166)			MISS:	CAPACITY	REPLACE:( 66)		CYCLES:21 	AGE:731 
MODIFY	:  110	 	 TAG: 01101110(110)			MISS:	CAPACITY	REPLACE:( 91)		CYCLES:10 	AGE:730 
READ	:  142	 	 TAG: 10001110(142)			MISS:	CAPACITY	REPLACE:(190)		CYCLES:10 	AGE:729 
MODIFY	:   97	 	 TAG: 01100001( 97)			MISS:	CAPACITY	REPLACE:( 29)		CYCLES:10 	AGE:728 
READ	:  223	 	 TAG: 11011111(223)			MISS:	CAPACITY	REPLACE:(113)		CYCLES:10 	AGE:727 
WRITE	:  226	 	 TAG: 11100010(226)			MISS:	CAPACITY	REPLACE:(222)		CYCLES:21 	AGE:726 
MODIFY	:   75	 	 TAG: 01001011( 75)			MISS:	CAPACITY	REPLACE:( 90)		CYCLES:10 	AGE:725 
MODIFY	:  167	 	 TAG: 10100111(167)			MISS:	CAPACITY	REPLACE:(165)		CYCLES:10 	AGE:724 
WRITE	:  236	 	 TAG: 11101100(236)			MISS:	CAPACITY	REPLACE:(166)		CYCLES:21 	AGE:723 
MODIFY	:   81	 	 TAG: 01010001( 81)			MISS:	CAPACITY	REPLACE:(110)		CYCLES:10 	AGE:722 
READ	:   58	 	 TAG: 00111010( 58)			VICTIM_HIT								CYCLES:6 	AGE:729 
MODIFY	:  212	 	 TAG: 11010100(212)			MISS:	CAPACITY	REPLACE:(142)		CYCLES:10 	AGE:720 
MODIFY	:  181	 	 TAG: 10110101(181)			MISS:	CAPACITY	REPLACE:( 97)		CYCLES:10 	AGE:719 
WRITE	:  243	 	 TAG: 11110011(243)			MISS:	CAPACITY	REPLACE:(223)		CYCLES:21 	AGE:718 
MODIFY	:   44	 	 TAG: 00101100( 44)			MISS:	CAPACITY	REPLACE:(226)		CYCLES:10 	AGE:717 
WRITE	:  132	 	 TAG: 10000100(132)			MISS:	CAPACITY	REPLACE:( 75)		CYCLES:21 	AGE:716 
READ	:    6	 	 TAG: 00000110(  6)			MISS:	CAPACITY	REPLACE:(167)		CYCLES:10 	AGE:715 
READ	:  250	 	 TAG: 11111010(250)			MISS:	CAPACITY	REPLACE:(236)		CYCLES:10 	AGE:714 
WRITE	:  106	 	 TAG: 01101010(106)			MISS:	CAPACITY	REPLACE:( 81)		CYCLES:21 	AGE:713 
MODIFY	:   94	 	 TAG: 01011110( 94)			MISS:	CAPACITY	REPLACE:(212)		CYCLES:10 	AGE:712 
MODIFY	:  242	 	 TAG: 11110010(242)			MISS:	CAPACITY	REPLACE:(181)		CYCLES:10 	AGE:711 
WRITE	:  177	 	 TAG: 10110001(177)			MISS:	CAPACITY	REPLACE:(243)		CYCLES:21 	AGE:710 
READ	:   82	 	 TAG: 01010010( 82)			MISS:	CAPACITY	REPLACE:( 44)		CYCLES:10 	AGE:709 
WRITE	:   48	 	 TAG: 00110000( 48)			MISS:	CAPACITY	REPLACE:(132)		CYCLES:21 	AGE:708 
READ	:   53	 	 TAG: 00110101( 53)			MISS:	CAPACITY	REPLACE:(  6)		CYCLES:10 	AGE:707 
READ	:  177	 	 TAG: 10110001(177)			HIT										CYCLES:1 	AGE:710 
